,北京,上海,天津,重庆,黑龙江,吉林,辽宁,内蒙古,河北,山西,山东,河南,陕西,甘肃,宁夏,青海,新疆,安徽,江苏,浙江,湖南,江西,湖北,四川,贵州,福建,台湾,广东,海南,广西,云南,西藏,香港,澳门,武汉
山东,365.5944501758005,728.1946871663127,279.800983559675,1253.5729156832424,1296.0432419710728,1069.267886040521,798.6688216126395,647.9357269872996,273.01304317839566,416.40575023326403,0.0,361.2650075535384,780.5187141667249,1184.3465015302825,967.2793012638966,1362.4785646550538,2610.1125305594637,531.3190727458187,537.4030595781626,767.7692513637113,1009.501091968918,888.0129276287822,711.1106486029196,1367.9967158986715,1480.249100190083,1189.9257089368418,1354.4675229877398,1539.3379681966928,1950.986969801962,1745.7150882371013,1877.2876323564356,2521.8011521188023,1612.1536393545025,1632.3614448890628,711.1106486029196
河南,616.7297406039563,827.4769971017421,573.6825627686088,892.8307805911021,1638.2312158396273,1417.279502155495,1151.463988658583,688.3962159098224,365.31747182032325,355.1716301471845,361.2650075535384,0.0,444.5655007380228,907.7784815280304,771.936799294451,1099.4899635990346,2449.5060369514076,468.33355654597284,567.432321496097,789.4335687909138,736.6475228421241,708.5644193295295,467.9113527241792,1011.5026445138037,1130.4338567239074,1105.4250135772438,1317.1421054282553,1293.8403128928962,1669.5367829684121,1428.8027034049985,1518.526118796079,2193.485149095704,1386.1318044297625,1394.6895185987532,467.9113527241792
陕西,917.7502476756094,1225.3339193591955,916.6363810994421,570.554154829931,1974.717546257691,1770.5556107063778,1521.575182393465,770.6945675742597,652.1835813772291,518.2398067870586,780.5187141667249,444.5655007380228,0.0,503.5521736979645,509.42432295646967,699.975161779429,2117.176980269208,828.6883946688695,958.7928874742267,1149.7469035351494,779.2374469706062,905.8916546502729,652.8718749465996,604.7784158236739,877.5309751961082,1349.8939758774418,1589.9519113592437,1304.6806839097944,1583.512470876189,1272.0543330093772,1189.9119701606687,1749.4295169746756,1422.6594241081616,1410.753921544064,652.8718749465996
甘肃,1189.4251397349447,1720.8497882258039,1228.1539997091627,766.0955715659273,2196.0714713734374,2023.7127425283304,1810.086544116268,874.4909399459398,972.079652026315,804.5829145939452,1184.3465015302825,907.7784815280304,503.5521736979645,0.0,333.9383147560645,196.49346178535913,1627.2487865090911,1329.1433254760561,1454.6233302603318,1652.0708743788946,1228.4259550674121,1395.7915102151808,1149.9358574285293,599.4328547760414,1084.747378702426,1841.0781646829987,2085.015843365853,1696.398924431456,1885.798481701847,1532.1481668530325,1229.8253192437353,1377.7616301675218,1823.8187899881773,1799.7793366659625,1149.9358574285293
宁夏,898.583018923464,1596.9799126473233,952.8364100000082,976.4236904193409,1873.1858320997214,1709.3716703650273,1509.2149931992974,549.429295844045,718.9641252827162,554.9048186013009,967.2793012638966,771.936799294451,509.42432295646967,333.9383147560645,0.0,441.72169124667886,1677.669175144625,1235.2547023544864,1339.2719908212052,1559.6142560602611,1287.801769193389,1391.501361597709,1132.2151212228036,875.5162991171253,1303.666207483244,1827.7597740406356,2058.2211740001285,1811.514392660167,2066.0183534294424,1733.3410217940657,1516.622360303136,1690.527038456539,1931.0204630779556,1917.4687511356854,1132.2151212228036
青海,1336.1833364322026,1916.0790447856361,1384.1557547541258,904.925112017399,2310.7420528346947,2150.532750027612,1950.270705413845,988.7850682818054,1136.710457842233,968.7925700622651,1362.4785646550538,1099.4899635990346,699.975161779429,196.49346178535913,441.72169124667886,0.0,1440.4960105206453,1525.3659348966762,1650.0510320700457,1848.5006708639862,1411.5854547639892,1588.1463399699103,1344.474540139298,697.9874652884904,1208.7920272573222,2033.200081038571,2278.176918437307,1860.4298526910568,2020.7696526492741,1659.2645849808455,1292.8325471862972,1252.3272568222626,1989.6237353835227,1962.1742966501122,1344.474540139298
新疆,2423.247607698669,3274.0425938847725,2510.255994351874,2307.0629857688787,3070.322042624173,3006.771077923529,2913.097793360381,2015.1462937485069,2340.468497916655,2196.7409517527685,2610.1125305594637,2449.5060369514076,2117.176980269208,1627.2487865090911,1677.669175144625,1440.4960105206453,0.0,2910.0170021326117,3016.9106348102414,3235.399217588842,2852.055544564401,3020.7138482139453,2770.0296885247576,2058.817352143187,2570.6179130809405,3465.8158633073226,3707.1151596181885,3281.2727369091285,3377.383241483288,3007.4869621327307,2495.5167333012814,1600.0295908224143,3412.363454382081,3379.481050480786,2770.0296885247576
安徽,896.3572506591752,403.0636743892225,810.0058409174085,1062.5236266778231,1742.2159325089885,1507.0597777868745,1233.441012587327,1110.1722209738236,733.0729221639775,795.2491310736665,531.3190727458187,468.33355654597284,828.6883946688695,1329.1433254760561,1235.2547023544864,1525.3659348966762,2910.0170021326117,0.0,146.3981281673048,325.7823291507706,580.6457758270171,377.15750537931643,312.5323674620964,1265.1558848632521,1183.604969261287,668.173139018309,859.1550850088065,1045.2725965594893,1482.4999056044137,1337.8637868710628,1618.6257783815392,2507.7544117626476,1102.7119212487655,1130.1614229749068,312.5323674620964
江苏,898.4984358839478,266.5787317216457,803.5963932522125,1208.7680249886073,1666.0561590051043,1430.5526085375514,1160.6978707391652,1159.98302782347,775.5494716966825,863.5172088581302,537.4030595781626,567.432321496097,958.7928874742267,1454.6233302603318,1339.2719908212052,1650.0510320700457,3016.9106348102414,146.3981281673048,0.0,235.78231836111507,705.6471480122085,468.20169033518846,454.6601205328845,1410.8763027199545,1323.2695838679508,661.0430267209463,817.1936903765455,1129.349671944145,1576.876758155199,1456.0478948524212,1759.8705765402246,2652.1566181315075,1173.1103884888535,1206.7955327129519,454.6601205328845
浙江,1123.5390346295464,169.10123083370127,1025.6681386677851,1316.8558124146873,1813.8038470846213,1580.4159744087658,1319.7614262701322,1395.6837710869154,1011.1080712003646,1097.8299126006495,767.7692513637113,789.4335687909138,1149.7469035351494,1652.0708743788946,1559.6142560602611,1848.5006708639862,3235.399217588842,325.7823291507706,235.78231836111507,0.0,731.3023477976747,449.583438033673,558.7756208563001,1542.6817556993576,1377.5703209572675,467.4222298788809,589.9890388923643,1043.7102674529363,1500.6452531560828,1435.6916212376852,1816.609072086958,2791.0037499101163,1062.420669688292,1105.6732260885165,558.7756208563001
湖南,1338.1876448284422,887.4539784038589,1276.3449577149893,648.3573330387798,2291.5693767396783,2058.9486325131375,1784.1184389859293,1405.7389158776405,1100.9351317053436,1074.6984359828957,1009.501091968918,736.6475228421241,779.2374469706062,1228.4259550674121,1287.801769193389,1411.5854547639892,2852.055544564401,580.6457758270171,705.6471480122085,731.3023477976747,0.0,286.241265328428,299.85244580308284,907.1641946793402,647.8024931682108,666.3851417988677,916.151194046275,560.0175667442161,942.428885324333,758.629499620084,1086.0113494496895,2132.1376037191653,662.2383315526979,663.2834379188045,299.85244580308284
江西,1245.4697524322892,611.2959236200522,1167.3098396754135,913.098985351919,2118.8950021139444,1883.5970006111427,1610.3105318554049,1396.1351994666593,1045.138365433793,1063.6917578634482,888.0129276287822,708.5644193295295,905.8916546502729,1395.7915102151808,1391.501361597709,1588.1463399699103,3020.7138482139453,377.15750537931643,468.20169033518846,449.583438033673,286.241265328428,0.0,259.78078510491787,1160.7603466284918,933.8432594173457,445.3065401329149,690.6932199530422,668.3610398068438,1110.0498993693386,997.5676617786394,1371.4770457300058,2400.611631173919,727.4808611977494,753.2562462077287,259.78078510491787
